Color,Modelo,Articulo,SKU,Descripcion Operam,Estado,Cantidad,Precio lista (sin IVA),Precio M6000 (sin IVA),Importe M6000,Precio estimado de,Inactivo
Crema salpicado de nopal,PL14,Plato 14,PL14Y4V47120,Plato 14 crema salpicado nopal s/filetes,EXISTE,1,116.38,46.55,46.55,,
Crema salpicado de nopal,PL24,Plato 24,PL24Y4V47120,Plato 24 crema salpicado nopal s/filetes,EXISTE,1,254.31,101.72,101.72,,
Crema salpicado de nopal,PL27,Plato 27,PL27Y4V47120,Plato 27 crema salpicado nopal s/filetes,EXISTE,1,331.90,132.76,132.76,,
Durazno filete negro,VA05,Taza 5,VA05P4001111,Taza 5 durazno filete negro,EXISTE,1,68.97,27.59,27.59,,
Durazno filete negro,SA08,Salsera 8,SA08P4001111,Salsera 8 durazno filete negro,EXISTE,1,77.59,31.03,31.03,,
Durazno filete negro,VA08,Taza 8,VA08P4001111,Taza 8 durazno filete negro,EXISTE,1,86.21,34.48,34.48,,
Durazno filete negro,TA14,Tazon 14,TA14P4001111,Tazon 14 durazno filete negro,EXISTE,1,107.76,43.10,43.10,,
Durazno filete negro,PH20,Plato 20 hondo,PH20P4001111,Plato 20 hondo durazno filete negro,EXISTE,1,172.41,68.97,68.97,,
Durazno filete negro,PL14,Plato 14,PL14P4001111,Plato 14 durazno filete negro,EXISTE,1,86.21,34.48,34.48,,
Durazno filete negro,PL24,Plato 24,PL24P4001111,Plato 24 durazno filete negro,EXISTE,1,172.41,68.97,68.97,,
Durazno filete negro,PL27,Plato 27,PL27P4001111,Plato 27 durazno filete negro,EXISTE,1,228.45,91.38,91.38,,
Durazno filete nopal,VA05,Taza 5,VA05P4001116,Taza 5 durazno filete nopal,EXISTE,1,68.97,27.59,27.59,,
Durazno filete nopal,SA08,Salsera 8,SA08P4001116,Salsera 8 durazno filete nopal,EXISTE,1,77.59,31.03,31.03,,
Durazno filete nopal,VA08,Taza 8,VA08P4001116,Taza 8 durazno filete nopal,EXISTE,1,86.21,34.48,34.48,,
Durazno filete nopal,TA14,Tazon 14,TA14P4001116,Tazon 14 durazno filete nopal,EXISTE,1,107.76,43.10,43.10,,
Durazno filete nopal,PH20,Plato 20 hondo,PH20P4001116,Plato 20 hondo durazno filete nopal,EXISTE,1,172.41,68.97,68.97,,
Durazno filete nopal,PL14,Plato 14,PL14P4001116,Plato 14 durazno filete nopal,EXISTE,1,86.21,34.48,34.48,,
Durazno filete nopal,PL24,Plato 24,PL24P4001116,Plato 24 durazno filete nopal,EXISTE,1,172.41,68.97,68.97,,
Durazno filete nopal,PL27,Plato 27,PL27P4001116,Plato 27 durazno filete nopal,EXISTE,1,228.45,91.38,91.38,,
Granito filete negro,VA05,Taza 5,VA05G1001111,Taza 5 granito filete negro,EXISTE,1,68.97,27.59,27.59,,
Granito filete negro,SA08,Salsera 8,SA08G1001111,Salsera 8 granito filete negro,EXISTE,1,77.59,31.03,31.03,,
Granito filete negro,VA08,Taza 8,VA08G11111,Taza 8 granito filete negro,EXISTE,1,86.21,34.48,34.48,,
Granito filete negro,TA14,Tazon 14,TA14G11111,Tazon 14 granito filete negro,EXISTE,1,107.76,43.10,43.10,,
Granito filete negro,PH20,Plato 20 hondo,PH20G1001111,Plato 20 hondo granito filete negro,EXISTE,1,172.41,68.97,68.97,,
Granito filete negro,PL14,Plato 14,PL14G1001111,Plato 14 granito filete negro,EXISTE,1,86.21,34.48,34.48,,
Granito filete negro,PL24,Plato 24,PL24G11111,Plato 24 granito filete negro,EXISTE,1,172.41,68.97,68.97,,
Granito filete negro,PL27,Plato 27,PL27G1001111,Plato 27 granito filete negro,EXISTE,1,228.45,91.38,91.38,,
Lila filete negro,VA05,Taza 5,VA05L1001111,Taza 5 lila filete negro,EXISTE,1,68.97,27.59,27.59,,
Lila filete negro,SA08,Salsera 8,SA08L1001111,Salsera 8 lila filete negro,EXISTE,1,77.59,31.03,31.03,,
Lila filete negro,VA08,Taza 8,VA08L1001111,Taza 8 lila filete negro,EXISTE,1,86.21,34.48,34.48,,
Lila filete negro,TA14,Tazon 14,TA14L1001111,Tazon 14 lila filete negro,EXISTE,1,107.76,43.10,43.10,,
Lila filete negro,PH20,Plato 20 hondo,PH20L1001111,Plato 20 hondo lila filete negro,EXISTE,1,172.41,68.97,68.97,,
Lila filete negro,PL14,Plato 14,PL14L1001111,Plato 14 lila filete negro,EXISTE,1,86.21,34.48,34.48,,
Lila filete negro,PL24,Plato 24,PL24L1001111,Plato 24 lila filete negro,EXISTE,1,172.41,68.97,68.97,,
Lila filete negro,PL27,Plato 27,PL27L1001111,Plato 27 lila filete negro,EXISTE,1,228.45,91.38,91.38,,
Menta con manchas rosas,VA05,Taza 5,VA05M3P32120,Taza 5 menta con manchas rosas s/filetes,EXISTE,1,99.14,39.66,39.66,,
Menta con manchas rosas,SA08,Salsera 8,SA08M3P32120,Salsera 8 menta con manchas rosas s/filetes,EXISTE,1,107.76,43.10,43.10,,
Menta con manchas rosas,VA08,Taza 8,VA08M3P32120,Taza 8 menta con manchas rosas s/filetes,EXISTE,1,116.38,46.55,46.55,,
Menta con manchas rosas,TA14,Tazon 14,TA14M3P32120,Tazon 14 menta con manchas rosas s/filetes,EXISTE,1,163.79,65.52,65.52,,
Menta con manchas rosas,PH20,Plato 20 hondo,PH20M3P32120,Plato 20 hondo menta con manchas rosas s/filetes,EXISTE,1,254.31,101.72,101.72,,
Menta con manchas rosas,PL14,Plato 14,PL14M3P32120,Plato 14 menta con manchas rosas s/filetes,EXISTE,1,116.38,46.55,46.55,,
Menta con manchas rosas,PL24,Plato 24,PL24M3P32120,Plato 24 menta con manchas rosas s/filetes,EXISTE,1,254.31,101.72,101.72,,
Menta con manchas rosas,PL27,Plato 27,PL27M3P32120,Plato 27 menta con manchas rosas s/filetes,EXISTE,1,331.90,132.76,132.76,,
Menta filete negro,VA05,Taza 5,VA05M31111,Taza 5 menta filete negro,EXISTE,1,68.97,27.59,27.59,,
Menta filete negro,SA08,Salsera 8,SA08M3001111,Salsera 8 menta filete negro,EXISTE,1,77.59,31.03,31.03,,
Menta filete negro,VA08,Taza 8,VA08M31111,Taza 8 menta filete negro,EXISTE,1,86.21,34.48,34.48,,
Menta filete negro,TA14,Tazon 14,TA14M31111,Tazon 14 menta filete negro,EXISTE,1,107.76,43.10,43.10,,
Menta filete negro,PH20,Plato 20 hondo,PH20M3001111,Plato 20 hondo menta filete negro,EXISTE,1,172.41,68.97,68.97,,
Menta filete negro,PL14,Plato 14,PL14M3001111,Plato 14 menta filete negro,EXISTE,1,86.21,34.48,34.48,,
Menta filete negro,PL24,Plato 24,PL24M31111,Plato 24 menta filete negro,EXISTE,1,172.41,68.97,68.97,,
Menta filete negro,PL27,Plato 27,PL27M3001111,Plato 27 menta filete negro,EXISTE,1,228.45,91.38,91.38,,
Menta filete nopal,VA05,Taza 5,VA05M3001116,Taza 5 menta filete nopal,EXISTE,1,68.97,27.59,27.59,,
Menta filete nopal,SA08,Salsera 8,SA08M3001116,Salsera 8 menta filete nopal,EXISTE,1,77.59,31.03,31.03,,
Menta filete nopal,VA08,Taza 8,VA08M3001116,Taza 8 menta filete nopal,EXISTE,1,86.21,34.48,34.48,,
Menta filete nopal,TA14,Tazon 14,TA14M3001116,Tazon 14 menta filete nopal,EXISTE,1,107.76,43.10,43.10,,
Menta filete nopal,PH20,Plato 20 hondo,PH20M3001116,Plato 20 hondo menta filete nopal,EXISTE,1,172.41,68.97,68.97,,
Menta filete nopal,PL14,Plato 14,PL14M3001116,Plato 14 menta filete nopal,EXISTE,1,86.21,34.48,34.48,,
Menta filete nopal,PL24,Plato 24,PL24M3001116,Plato 24 menta filete nopal,EXISTE,1,172.41,68.97,68.97,,
Menta filete nopal,PL27,Plato 27,PL27M3001116,Plato 27 menta filete nopal,EXISTE,1,228.45,91.38,91.38,,
Menta s/filetes,VA05,Taza 5,VA05M3001120,Taza 5 menta s/filetes,EXISTE,1,68.97,27.59,27.59,,
